outer,radius,TMR,FMR
0.4,0.8,0.3735242548217417,0.0002922267679719462
0.4,0.85,0.3613091759205143,0.0002922267679719462
0.4,0.9,0.34593804792518995,0.0004091174751607247
0.4,0.95,0.32361192285213325,0.0002922267679719462
0.4,1.0,0.296843950905903,0.000233781414377557
0.425,0.8,0.474926943308007,0.0008182349503214494
0.425,0.85,0.4721800116890707,0.0007013442431326709
0.425,0.9,0.460666277030976,0.0006428988895382817
0.425,0.95,0.4440677966101695,0.0007013442431326709
0.425,1.0,0.42191700759789597,0.0007013442431326709
0.45,0.8,0.5628287551139685,0.0015195791934541204
0.45,0.85,0.566218585622443,0.0015780245470485097
0.45,0.9,0.5640561075394506,0.0015195791934541204
0.45,0.95,0.5541788427819988,0.0014026884862653418
0.45,1.0,0.5416715371127996,0.0014611338398597311
0.475,0.8,0.6398597311513735,0.0032729398012857976
0.475,0.85,0.6473991817650496,0.003331385154880187
0.475,0.9,0.651198129748685,0.003389830508474576
0.475,0.95,0.6481005260081824,0.0036820572764465227
0.475,1.0,0.6414962010520163,0.0036236119228521334
0.5,0.8,0.7053185271770894,0.006954997077732321
0.5,0.85,0.7145528930450029,0.007071887784921098
0.5,0.9,0.7211572180011689,0.007188778492109877
0.5,0.95,0.724021040327294,0.007422559906487434
0.5,1.0,0.7244301578024547,0.007188778492109877
0.525,0.8,0.7601402688486265,0.010637054354178842
0.525,0.85,0.7718293395675044,0.01163062536528346
0.525,0.9,0.7801870251315021,0.012331969608416132
0.525,0.95,0.7853302162478083,0.012799532437171244
0.525,1.0,0.7889538281706604,0.01320864991233197
0.55,0.8,0.805552308591467,0.017241379310344827
0.55,0.85,0.8171829339567505,0.018293395675043834
0.55,0.9,0.825365283459965,0.02016364699006429
0.55,0.95,0.8305084745762712,0.020748100526008183
0.55,1.0,0.8347165400350672,0.021449444769140853
0.575,0.8,0.8412039742840444,0.024839275277615428
0.575,0.85,0.851198129748685,0.02647574517825833
0.575,0.9,0.857510227936879,0.02957334891876096
0.575,0.95,0.8631209818819404,0.03021624780829924
0.575,1.0,0.8688486265341905,0.030508474576271188
0.6,0.8,0.8692577440093513,0.03495032144944477
0.6,0.85,0.8774400935125658,0.03658679135008767
0.6,0.9,0.8850964348334307,0.03962594973699591
0.6,0.95,0.8904149620105202,0.04038573933372297
0.6,1.0,0.895791934541204,0.04219754529514903
